"NUTS3","VAR","Gender","Year","population"
"DEG05","T","Total",2016,64131
"DE26B","T","Total",2016,114813
"DE221","T","Total",2016,69211
"DE217","T","Total",2016,149370
"DE27C","T","Total",2016,140419
"DE27A","T","Total",2016,80429
"DE719","T","Total",2016,411956
"DE803","T","Total",2016,206011
"DEA52","T","Total",2016,586181
"DEA12","T","Total",2016,491231
"DEA15","T","Total",2016,259996
"DE80O","T","Total",2016,214113
"DEB38","T","Total",2016,50284
"DED53","T","Total",2016,197605
"DEE03","T","Total",2016,235723
"DEF08","T","Total",2016,199574
"DEG0C","T","Total",2016,136831
"DE122","T","Total",2016,307755
"DE124","T","Total",2016,227474
"DE144","T","Total",2016,122636
"DE24D","T","Total",2016,73185
"DE275","T","Total",2016,130916
"DE227","T","Total",2016,154577
"DE27E","T","Total",2016,152672
"DE408","T","Total",2016,158236
"DE928","T","Total",2016,156206
"DE91B","T","Total",2016,120981
"DEA35","T","Total",2016,218401
"DEA55","T","Total",2016,155851
"DEA29","T","Total",2016,252527
"DEA59","T","Total",2016,136365
"DEB12","T","Total",2016,127770
"DE80J","T","Total",2016,262517
"DEB36","T","Total",2016,52999
"DEF0C","T","Total",2016,196839
"DE126","T","Total",2016,305780
"DE133","T","Total",2016,162082
"DE23A","T","Total",2016,73314
"DE277","T","Total",2016,94575
"DE22A","T","Total",2016,119218
"DE279","T","Total",2016,170309
"DE21N","T","Total",2016,132906
"DE40C","T","Total",2016,182397
"DE71D","T","Total",2016,184114
"DE93A","T","Total",2016,93131
"DEA17","T","Total",2016,210934
"DEA22","T","Total",2016,318809
"DEB21","T","Total",2016,114914
"DEC03","T","Total",2016,133735
"DED2D","T","Total",2016,260000
"DEG01","T","Total",2016,210118
"DE136","T","Total",2016,209648
"DE231","T","Total",2016,41861
"DE233","T","Total",2016,42055
"DE215","T","Total",2016,103907
"DE712","T","Total",2016,732688
"DE941","T","Total",2016,76323
"DEA45","T","Total",2016,350750
"DEB15","T","Total",2016,80615
"DEB3D","T","Total",2016,75230
"DEB3F","T","Total",2016,104966
"DEC06","T","Total",2016,88892
"DED44","T","Total",2016,232318
"DEG07","T","Total",2016,85355
"DEG0N","T","Total",2016,42417
"DE11B","T","Total",2016,132181
"DE11D","T","Total",2016,312650
"DE143","T","Total",2016,188595
"DE132","T","Total",2016,257343
"DE25A","T","Total",2016,98751
"DE236","T","Total",2016,130385
"DE27B","T","Total",2016,137709
"DE213","T","Total",2016,61844
"DE736","T","Total",2016,157592
"DE716","T","Total",2016,292773
"DE918","T","Total",2016,134896
"DEA56","T","Total",2016,325954
"DEA58","T","Total",2016,416171
"DEA2A","T","Total",2016,273452
"DE80L","T","Total",2016,224820
"DEB35","T","Total",2016,209779
"DED52","T","Total",2016,258408
"DEE0E","T","Total",2016,128447
"DEF01","T","Total",2016,85942
"DE262","T","Total",2016,51969
"DE254","T","Total",2016,509975
"DE219","T","Total",2016,128805
"DE238","T","Total",2016,189390
"DE21F","T","Total",2016,98286
"DE600","T","Total",2016,1787410
"DE723","T","Total",2016,171922
"DE947","T","Total",2016,189199
"DE927","T","Total",2016,120632
"DE91A","T","Total",2016,132320
"DEA37","T","Total",2016,443374
"DEA23","T","Total",2016,1060580
"DEB18","T","Total",2016,180655
"DED42","T","Total",2016,347665
"DEE0C","T","Total",2016,196695
"DEF03","T","Total",2016,216253
"DEG0I","T","Total",2016,109278
"DE114","T","Total",2016,252749
"DE146","T","Total",2016,194019
"DE142","T","Total",2016,221837
"DE137","T","Total",2016,136606
"DE131","T","Total",2016,226393
"DE147","T","Total",2016,212201
"DE267","T","Total",2016,84581
"DE241","T","Total",2016,73331
"DE252","T","Total",2016,108336
"DE274","T","Total",2016,42841
"DE732","T","Total",2016,220132
"DE939","T","Total",2016,200054
"DEA54","T","Total",2016,179397
"DEA19","T","Total",2016,158726
