"NUTS3","funding_by_region","population","funding_per_capita_germany_aaw","GDP_per_capita","log_funding_per_capita","log_GDP_per_capita","NUTS1_states"
"DE21H",13679921.6,340003,40.2347085172778,104483,3.69473001906528,11.5567796577274,"DE2"
"DE21I",3669619.52,94654,38.7687738500222,34398,3.65761512492587,10.4457537021364,"DE2"
"DE21J",6201166.28,124128,49.9578361046661,40152,3.91117937176264,10.6004275313348,"DE2"
"DE21K",10664191.51,256074,41.6449600896616,30708,3.72918035504038,10.3322784859478,"DE2"
"DE21L",2799992.98,133621,20.9547375038355,41521,3.04236475463837,10.6339546023282,"DE2"
"DE21M",13403921.27,174162,76.9623756617402,38407,4.34331667466663,10.5559950136294,"DE2"
"DE21N",8439368.65,132906,63.4987784599642,38301,4.15102066886266,10.5532312844885,"DE2"
"DE221",14581044.8,69211,210.675251043909,56031,5.3503178532747,10.9336603879817,"DE2"
"DE222",77369702.32,50566,1530.07361309971,64561,7.33307112636615,11.075365792291,"DE2"
"DE223",16772506.37,46806,358.340947100799,50782,5.88148489939108,10.835297240068,"DE2"
"DE224",17452901.48,116596,149.686965933651,38140,5.00854621972347,10.5490188791544,"DE2"
"DE225",47494106.01,78122,607.947902127442,27489,6.41008919100441,10.2215412036333,"DE2"
"DE226",182666884.23,118965,1535.4674419367,31662,7.33659013609809,10.3628725026337,"DE2"
"DE227",2843827.91,154577,18.3974841664672,34481,2.91221392518323,10.4481637266773,"DE2"
"DE228",85674463.38,188336,454.902214021748,28335,6.12008248161566,10.2518530686037,"DE2"
"DE229",26540444.93,76812,345.524721788262,30253,5.84506419430421,10.3173506320953,"DE2"
"DE22A",39512526.93,119218,331.430882333205,30669,5.80341928813782,10.3310076514251,"DE2"
"DE22B",3908110.29,98806,39.5533701394652,26550,3.67765090270633,10.1867850266701,"DE2"
"DE22C",4681372.87,94104,49.7468000297543,66189,3.90694614052595,11.1002695649765,"DE2"
"DE231",7488428.06,41861,178.887940087432,53599,5.18675957676915,10.8892856901684,"DE2"
