"NUTS3_Code","Region"
"CH033|DE13A","Canton Aargau|Waldshut"
"CH033|DE13A|DE139","Canton Aargau|Waldshut|Lörrach"
"CH033|DE148","Canton Aargau|Landkreis Ravensburg"
"CH033|DEB32|DE122|DE136|DE134|FRF11","Canton Aargau|Kaiserslautern|Karlsruhe|Schwarzwald-Baar district|Ortenau|Bas-Rhin"
"CH033|DEB33|DEB32|DE122|DE139|DE134|DE131|FRF11|FRF12|DEB35","Canton Aargau|Landau in der Pfalz|Kaiserslautern|Karlsruhe|Lörrach|Ortenau|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin|Mainz"
"CH033|DEB3K|DEB37|DEB3E|DEB36|DE22A|FRF11|FRF12","Canton Aargau|Südwestpfalz|Pirmasens|Germersheim|Neustadt an der Weinstraße|Rottal-Inn|Bas-Rhin|Haut-Rhin"
"CH040|CH032|DE148|AT342|DE212|AT130","Canton of Zürich|Basel-Landschaft|Landkreis Ravensburg|Rheintal-Bodenseegebiet|Munich|Vienna"
"CH040|CH033|CH032|CH021|DEA2B|DE122|DE124|FRF11|FRF31|FRF12|DEA22","Canton of Zürich|Canton Aargau|Basel-Landschaft|canton of Bern|Rhein-Berg District|Karlsruhe|Rastatt district|Bas-Rhin|Meurthe-et-Moselle|Haut-Rhin|Bonn"
"CH040|CH033|CH032|CH031|CH021|DEB21|DE134|DE131|FRF11|FR101","Canton of Zürich|Canton Aargau|Basel-Landschaft|Basel-Stadt|canton of Bern|Trier|Ortenau|Freiburg im Breisgau|Bas-Rhin|Paris"
"CH040|CH054|CH021|DE138|DE142","Canton of Zürich|Appenzell Innerrhoden|canton of Bern|Konstanz|Tübingen"
"CH040|CH054|DE273|DE149|DE141|DE138|DE136","Canton of Zürich|Appenzell Innerrhoden|Kempten|Landkreis Sigmaringen|Reutlingen|Konstanz|Schwarzwald-Baar district"
"CH040|DE122|DE124|DE134|DE131|FRF33|FRF11|DEB35","Canton of Zürich|Karlsruhe|Rastatt district|Ortenau|Freiburg im Breisgau|Moselle|Bas-Rhin|Mainz"
"CH040|DE136","Canton of Zürich|Schwarzwald-Baar district"
"CH040|DE138","Canton of Zürich|Konstanz"
"CH040|DE138|AT342","Canton of Zürich|Konstanz|Rheintal-Bodenseegebiet"
"CH040|DE138|LI000","Canton of Zürich|Konstanz|Liechtenstein"
"CH040|DE147|AT221|AT342","Canton of Zürich|Bodenseekreis|Graz-Umgebung District|Rheintal-Bodenseegebiet"
"CH040|DE148|DE138","Canton of Zürich|Landkreis Ravensburg|Konstanz"
"CH040|DE148|DE147|DE21B|AT342","Canton of Zürich|Landkreis Ravensburg|Bodenseekreis|Freising|Rheintal-Bodenseegebiet"
"CH040|DE27A|DE148|DE26C","Canton of Zürich|Lindau|Landkreis Ravensburg|Würzburg district"
"CH052|CH033|DE13A|DE139","canton of Schaffhausen|Canton Aargau|Waldshut|Lörrach"
"CH052|CH033|DE141|DE13A|DE139|DE134|DE131","canton of Schaffhausen|Canton Aargau|Reutlingen|Waldshut|Lörrach|Ortenau|Freiburg im Breisgau"
"CH052|DE138","canton of Schaffhausen|Konstanz"
"CH052|DE138|AT342","canton of Schaffhausen|Konstanz|Rheintal-Bodenseegebiet"
"CH052|DE138|DE136","canton of Schaffhausen|Konstanz|Schwarzwald-Baar district"
"CH052|DE13A","canton of Schaffhausen|Waldshut"
"CH052|DE13A|DE136","canton of Schaffhausen|Waldshut|Schwarzwald-Baar district"
"CH055|CH040|DE138","Canton of St. Gallen|Canton of Zürich|Konstanz"
"CH055|CH040|DE138|AT342","Canton of St. Gallen|Canton of Zürich|Konstanz|Rheintal-Bodenseegebiet"
"CH055|CH040|DE148|DE149|DE138|AT342|LI000","Canton of St. Gallen|Canton of Zürich|Landkreis Ravensburg|Landkreis Sigmaringen|Konstanz|Rheintal-Bodenseegebiet|Liechtenstein"
"CH055|CH040|DE149","Canton of St. Gallen|Canton of Zürich|Landkreis Sigmaringen"
"CH055|CH040|DE273|DE148|DE147|DE138|DE136|AT342","Canton of St. Gallen|Canton of Zürich|Kempten|Landkreis Ravensburg|Bodenseekreis|Konstanz|Schwarzwald-Baar district|Rheintal-Bodenseegebiet"
"CH055|CH052|CH021|DE13A|AT342","Canton of St. Gallen|canton of Schaffhausen|canton of Bern|Waldshut|Rheintal-Bodenseegebiet"
"CH055|CH052|DE148|DE147|DE138|AT342","Canton of St. Gallen|canton of Schaffhausen|Landkreis Ravensburg|Bodenseekreis|Konstanz|Rheintal-Bodenseegebiet"
"CH055|CH053|DE27A|DE147|DE138|AT342|LI000","Canton of St. Gallen|Appenzell Ausserrhoden|Lindau|Bodenseekreis|Konstanz|Rheintal-Bodenseegebiet|Liechtenstein"
"CH055|CH057|CH040|DE136|AT342","Canton of St. Gallen|Thurgau|Canton of Zürich|Schwarzwald-Baar district|Rheintal-Bodenseegebiet"
"CH055|CH057|CH040|DE147|DE138|AT342","Canton of St. Gallen|Thurgau|Canton of Zürich|Bodenseekreis|Konstanz|Rheintal-Bodenseegebiet"
"CH055|CH057|CH040|DE27A|DE148","Canton of St. Gallen|Thurgau|Canton of Zürich|Lindau|Landkreis Ravensburg"
"CH055|CH057|CH040|DE27A|DE148|AT342","Canton of St. Gallen|Thurgau|Canton of Zürich|Lindau|Landkreis Ravensburg|Rheintal-Bodenseegebiet"
"CH055|CH057|CH052|CH040|CH053|CH054|DE138|AT342|LI000|DE212","Canton of St. Gallen|Thurgau|canton of Schaffhausen|Canton of Zürich|Appenzell Ausserrhoden|Appenzell Innerrhoden|Konstanz|Rheintal-Bodenseegebiet|Liechtenstein|Munich"
"CH055|CH057|CH052|DE138|LI000","Canton of St. Gallen|Thurgau|canton of Schaffhausen|Konstanz|Liechtenstein"
"CH055|CH057|CH052|DE147|DE138|AT342","Canton of St. Gallen|Thurgau|canton of Schaffhausen|Bodenseekreis|Konstanz|Rheintal-Bodenseegebiet"
"CH055|CH057|CH053|CH054|DE27A|DE148|DE147|DE149|DE138|AT342|LI000","Canton of St. Gallen|Thurgau|Appenzell Ausserrhoden|Appenzell Innerrhoden|Lindau|Landkreis Ravensburg|Bodenseekreis|Landkreis Sigmaringen|Konstanz|Rheintal-Bodenseegebiet|Liechtenstein"
"CH055|CH057|DE27A|DE148|DE147","Canton of St. Gallen|Thurgau|Lindau|Landkreis Ravensburg|Bodenseekreis"
"CH055|DE122|DE273|DE148|AT342","Canton of St. Gallen|Karlsruhe|Kempten|Landkreis Ravensburg|Rheintal-Bodenseegebiet"
"CH055|DE138","Canton of St. Gallen|Konstanz"
"CH055|DE138|AT342","Canton of St. Gallen|Konstanz|Rheintal-Bodenseegebiet"
"CH055|DE147","Canton of St. Gallen|Bodenseekreis"
"CH055|DE147|DE138","Canton of St. Gallen|Bodenseekreis|Konstanz"
"CH055|DE147|DE138|AT342","Canton of St. Gallen|Bodenseekreis|Konstanz|Rheintal-Bodenseegebiet"
"CH055|DE252|DE138|AT342","Canton of St. Gallen|Erlangen|Konstanz|Rheintal-Bodenseegebiet"
"CH055|DE273|DE148|AT342|LI000","Canton of St. Gallen|Kempten|Landkreis Ravensburg|Rheintal-Bodenseegebiet|Liechtenstein"
"CH055|DE27A|AT342","Canton of St. Gallen|Lindau|Rheintal-Bodenseegebiet"
"CH055|DE27A|AT342|LI000","Canton of St. Gallen|Lindau|Rheintal-Bodenseegebiet|Liechtenstein"
"CH056|CH055|DE148|AT342","Grisons|Canton of St. Gallen|Landkreis Ravensburg|Rheintal-Bodenseegebiet"
"CH056|DE147|DE138|AT342|LI000","Grisons|Bodenseekreis|Konstanz|Rheintal-Bodenseegebiet|Liechtenstein"
"CH056|IT311|ITD10|ITH10|SI041|DE251|DE215|AT333|AT314|FRK27|FRK28|ITH42|DE212|AT130|FR105|ITI43","Grisons|South Tyrol|Osrednjeslovenska|Ansbach|Berchtesgadener Land|East Tyrol|Steyr-Kirchdorf|Savoie|Haute-Savoie|Province of Udine|Munich|Vienna|Hauts-de-Seine|Province of Rome"
"CH056|ITC47|IT311|ITD10|ITH10|ITH35|SI032|AT221|FRL04|FRK27|DE212","Grisons|Province of Brescia|South Tyrol|Province of Venice|Podravska|Graz-Umgebung District|Bouches-du-Rhône|Savoie|Munich"
"CH057|CH040|DE21H","Thurgau|Canton of Zürich|Munich (district)"
"CH057|DE138","Thurgau|Konstanz"
"CH057|DE147|DE26C|DE138","Thurgau|Bodenseekreis|Würzburg district|Konstanz"
"CH057|DE27A|DE148|DE147|DE138|DE136|AT342","Thurgau|Lindau|Landkreis Ravensburg|Bodenseekreis|Konstanz|Schwarzwald-Baar district|Rheintal-Bodenseegebiet"
"CH070|IT311|ITD10|ITH10|ITH35|CH040|IT312|ITD20|ITH20|SI041|DE21H|FRL02|DE300|AT130|FR105","Canton of Ticino|South Tyrol|Province of Venice|Canton of Zürich|Trentino|Osrednjeslovenska|Munich (district)|Hautes-Alpes|Berlin|Vienna|Hauts-de-Seine"
"CH070|ITH36|IT312|ITD20|ITH20|SI041|DE21N|DE21L|AT315|FRL04|FRK26|AT130|ITI43","Canton of Ticino|Province of Padua|Trentino|Osrednjeslovenska|Weilheim-Schongau|Starnberg district|Traunviertel|Bouches-du-Rhône|Rhône|Vienna|Province of Rome"
"CZ032|DE254","Plzeň Region|Nuremberg"
"DE111","Stuttgart"
"DE111|AT312|HU110|HR026|RS221|RO321|RO223|RO224|AT130|SK010|BG323","Stuttgart|Linz-Wels|Budapest|Vukovarsko-srijemska županija|Борска област|Bucureşti|Constanţa|Galaţi|Vienna|Bratislava Region|Ruse Province"
"DE111|AT342","Stuttgart|Rheintal-Bodenseegebiet"
"DE111|BE323|NL423|NL211|NL221|NL226|UKJ25|FR101","Stuttgart|Arrondissement of Mons|Zuid-Limburg|Noord-Overijssel|Veluwe|Arnhem/Nijmegen|West Surrey|Paris"
"DE111|BG411|HR036|RO321|RS123|RO224|CZ010|SK010|DE144","Stuttgart|София (столица)|Istarska županija|Bucureşti|Јужнобачка област|Galaţi|Prague|Bratislava Region|Ulm"
"DE111|CH012|CH032|CH031|DEB34|DEB11|DEA47|DEA2D|DE122|DE134|DE131|FRF11|DEB35","Stuttgart|Canton of Valais|Basel-Landschaft|Basel-Stadt|Ludwigshafen|Koblenz|Paderborn|Aachen cities region|Karlsruhe|Ortenau|Freiburg im Breisgau|Bas-Rhin|Mainz"
