"NUTS3","funding_by_region","population","funding_per_capita_germany_erdf","GDP_per_capita","log_funding_per_capita","log_GDP_per_capita","NUTS1_states"
"DE221",5276409.5,69211,76.2365736660358,56031,4.33384131691469,10.9336603879817,"DE2"
"DE222",61707737.18,50566,1220.34048926156,64561,7.10688518834771,11.075365792291,"DE2"
"DE223",7226398.96,46806,154.390440541811,50782,5.03948472208464,10.835297240068,"DE2"
"DE224",3194690.66,116596,27.3996591649799,38140,3.31053057408235,10.5490188791544,"DE2"
"DE225",17305182.69,78122,221.514844602033,27489,5.40048960575889,10.2215412036333,"DE2"
"DE226",17826332,118965,149.845181355861,31662,5.00960263679493,10.3628725026337,"DE2"
"DE227",24159.59,154577,0.156294856285217,34481,-1.85601095133988,10.4481637266773,"DE2"
"DE228",74555919.4,188336,395.866533217229,28335,5.9810771171144,10.2518530686037,"DE2"
"DE229",21219647.47,76812,276.254328360152,30253,5.62132192098126,10.3173506320953,"DE2"
"DE22A",32759781.62,119218,274.78888775185,30669,5.61600312194633,10.3310076514251,"DE2"
"DE22B",458398.63,98806,4.63938050320831,26550,1.53458084508502,10.1867850266701,"DE2"
"DE22C",2793503.63,94104,29.685280434413,66189,3.39065131468536,11.1002695649765,"DE2"
"DE232",12046540.7,145465,82.8140150551679,83406,4.41659731101899,11.3314755282051,"DE2"
"DE233",270604.1,42055,6.4345285935085,52941,1.86167858172266,10.8769333649113,"DE2"
"DE234",14022342.68,103568,135.392618183223,25878,4.90817884040426,10.1611484658759,"DE2"
"DE235",33831348.87,126359,267.739922522337,34322,5.59001607098121,10.4435418269622,"DE2"
"DE236",3771269.17,130385,28.924103002646,37847,3.36467526145441,10.5413069954866,"DE2"
"DE237",12888506.94,95078,135.557194513978,29704,4.90939365099488,10.2990369958569,"DE2"
"DE238",2094450,189390,11.0589260256613,24353,2.40323788700867,10.1004103242073,"DE2"
"DE239",22704944.88,144864,156.732831345262,34254,5.05454264461645,10.4415586251923,"DE2"
"DE23A",8010459.87,73314,109.262349210246,33166,4.69375186383698,10.409280533774,"DE2"
"DE241",3450,73331,0.0470469514939112,60347,-3.05660920795296,11.0078665152652,"DE2"
"DE242",34248743.26,72148,474.701215002495,62727,6.16268558507052,11.0465472559395,"DE2"
"DE243",9155027.26,41257,221.902398623264,91888,5.40223763935856,11.4283257231041,"DE2"
"DE245",2685653.06,145570,18.4492207185546,25121,2.9150221321178,10.131459428707,"DE2"
"DE246",4860946,104306,46.6027457672617,20639,3.84165946144001,9.93493776880937,"DE2"
"DE247",20333831,86599,234.804455016802,25918,5.45875306144005,10.1626929869954,"DE2"
"DE248",8039300,114834,70.0080115645192,26177,4.24860968642206,10.1726364416067,"DE2"
"DE249",9887394.51,96429,102.53548735339,33378,4.63020895674066,10.4156522793033,"DE2"
"DE24A",16356661.1,67916,240.836637905648,31000,5.48411885263188,10.3417424834673,"DE2"
"DE24B",55370676.29,72468,764.070711072473,33336,6.63866033864347,10.4143931731023,"DE2"
"DE24C",23794801.28,66655,356.98449148601,33747,5.87769233962038,10.4266468034609,"DE2"
"DE24D",17319670.33,73185,236.656013254082,32237,5.4666076659347,10.3808701401818,"DE2"
"DE252",63500,108336,0.586139418106631,88127,-0.534197602844644,11.3865342348925,"DE2"
"DE253",5587166.19,124171,44.9957412761434,34283,3.80656784698391,10.4424048834683,"DE2"
"DE254",8786645.65,509975,17.2295615471347,57117,2.84662660315481,10.9528570746258,"DE2"
"DE255",80000,40428,1.97882655585238,32168,0.682504020461465,10.3787274485771,"DE2"
"DE256",58431328.23,181314,322.265948740858,29675,5.7753771324204,10.2980602194779,"DE2"
"DE257",19750,134136,0.147238623486611,37775,-1.91570071928838,10.5394027871409,"DE2"
"DE259",1951521.02,167643,11.6409335313732,30598,2.45452763937722,10.3286899263273,"DE2"
"DE25A",17224,98751,0.174418486901398,27674,-1.74629777025017,10.2282486232293,"DE2"
"DE25B",5699330,125140,45.5436311331309,27580,3.81867079248395,10.2248461513473,"DE2"
"DE25C",5751502.06,93342,61.617514730775,30332,4.1209461601704,10.3199585398208,"DE2"
"DE261",2400000,68986,34.7896674687618,75781,3.5493204308762,11.2356028805795,"DE2"
"DE262",6455931.84,51969,124.226593546153,98156,4.82210726530832,11.4943133287582,"DE2"
"DE263",65318972.75,124873,523.083234566319,61270,6.25974059971254,11.0230456057197,"DE2"
"DE264",33927490.15,173695,195.327960793345,30780,5.27467999605972,10.3346204073929,"DE2"
"DE265",12176528.9,103106,118.097190270207,30941,4.77150793181283,10.3398374442253,"DE2"
"DE266",3574718,79723,44.8392308367723,36474,3.80308344455042,10.5043549569768,"DE2"
"DE267",6963617.28,84581,82.3307513507762,30228,4.4107446873561,10.3165239261406,"DE2"
"DE268",23031559.32,89306,257.894870669384,34588,5.55255202385424,10.4512620800803,"DE2"
"DE269",19972022.2,128446,155.489639225823,32773,5.04657910062665,10.3973602846495,"DE2"
"DE26A",43905749.24,126123,348.118497339898,34327,5.85254293141165,10.4436874955083,"DE2"
"DE26B",9424902,114813,82.0891536672676,21052,4.4078058964918,9.95475084647367,"DE2"
"DE26C",75432.5,160427,0.470198283331359,27666,-0.754600793815713,10.2279595014348,"DE2"
"DE271",39178099.35,286374,136.807459301473,47522,4.91857453075945,10.768948040693,"DE2"
"DE272",5965834.19,42731,139.613727504622,36775,4.93887952005408,10.5125735454696,"DE2"
"DE273",13767300,66947,205.644763768354,53763,5.32615023249161,10.8923407772115,"DE2"
"DE274",24418.99,42841,0.569991129992297,58819,-0.562134479691644,10.9822202109434,"DE2"
"DE275",43000,130916,0.328454887103181,25905,-1.11335578046319,10.1621912792489,"DE2"
"DE276",7372241.84,245600,30.0172713355049,28647,3.40177292718755,10.2628040046183,"DE2"
"DE277",1630818,94575,17.2436478984933,33094,2.84744383789269,10.4071072760518,"DE2"
"DE278",15853450,123153,128.729710197884,42822,4.85771493642908,10.6648072681991,"DE2"
"DE279",9577693.06,170309,56.2371516478871,36872,4.02957759984514,10.5152077344003,"DE2"
"DE27A",62800,80429,0.780812890872695,36394,-0.24741973419283,10.5021592048732,"DE2"
"DE27B",74260522.59,137709,539.256857503867,33862,6.29019200193179,10.4300487206882,"DE2"
"DE27C",12349897.11,140419,87.9503280182881,36113,4.47677220077625,10.4944081903,"DE2"
"DE27D",21993249.22,131345,167.446413795729,47695,5.12066338244312,10.7725818495793,"DE2"
"DE27E",13654732.15,152672,89.438352481136,30417,4.49354958885627,10.3227569416207,"DE2"
"DE300",1353495606.37,3520030,384.512520168862,37551,5.95197635062327,10.5334552879961,"DE3"
"DE401",42969096.37,71574,600.34504666499,30543,6.39750456769727,10.3268908057753,"DE4"
"DE402",80275085.31,99687,805.271352433116,33793,6.69117930438644,10.4280089594311,"DE4"
"DE403",78241471.09,58092,1346.85449097983,34951,7.20552714606143,10.4617023595559,"DE4"
"DE404",230403999.66,167745,1373.53721219708,40495,7.22514459814035,10.6089337886831,"DE4"
"DE405",76560413.93,177411,431.542654795926,21060,6.0673663580039,9.95513078568797,"DE4"
"DE406",48769702.4,164528,296.42190022367,32167,5.69178377808669,10.3786963612996,"DE4"
"DE407",40306331.57,104673,385.069039484872,22763,5.95342264154861,10.0328916897474,"DE4"
"DE408",24350343.51,158236,153.886242763973,19990,5.03621364610183,9.90298742749445,"DE4"
"DE409",32528479.05,190714,170.561568893736,20043,5.13909633942096,9.90563524459359,"DE4"
"DE40A",100122360,207524,482.461594803493,25254,6.1789013213489,10.1367398379986,"DE4"
"DE40B",15000475.02,112450,133.396843219209,26210,4.8933284691776,10.1738962963175,"DE4"
"DE40C",44476499.85,182397,243.844470303788,23824,5.496530605269,10.0784487549238,"DE4"
"DE40D",31102223.58,99110,313.815190999899,24940,5.74880424894206,10.124228219234,"DE4"
"DE40E",49260909.76,210910,233.56365160495,23815,5.45345463784077,10.078070913235,"DE4"
"DE40F",26860249.97,77573,346.257718149356,24696,5.84718334793718,10.114396566182,"DE4"
"DE40G",17654048,117635,150.074790666043,31391,5.01113377427465,10.354276506608,"DE4"
"DE40H",78900235.29,163553,482.413867614779,33237,6.17880239212827,10.4114189921888,"DE4"
"DE40I",47944013.85,121014,396.185679756061,28494,5.98188298963361,10.2574488177772,"DE4"
"DE501",131232418.72,557464,235.409674382561,48890,5.46132729161364,10.7973281555727,"DE5"
"DE502",22907768.47,114025,200.90128015786,34382,5.30281364391537,10.4452884506014,"DE5"
