"NUTS3","funding_by_region","population","funding_per_capita_germany_esf","GDP_per_capita","log_funding_per_capita","log_GDP_per_capita","NUTS1_states"
"DE402",51589303.98,99687,517.512855036263,33793,6.24903436548078,10.4280089594311,"DE4"
"DE403",54676588.85,58092,941.206858947876,34951,6.84716294427659,10.4617023595559,"DE4"
"DE404",108188867.38,167745,644.960311067394,40495,6.46918878167368,10.6089337886831,"DE4"
"DE405",17737787.98,177411,99.9813313717864,21060,4.6049834822779,9.95513078568797,"DE4"
"DE406",26227431.83,164528,159.410141921132,32167,5.07148038993518,10.3786963612996,"DE4"
"DE407",12188216.85,104673,116.440885901808,22763,4.75738372707425,10.0328916897474,"DE4"
"DE408",12795308.87,158236,80.8621860385753,19990,4.39274629870466,9.90298742749445,"DE4"
"DE409",20300652.09,190714,106.445526232998,20043,4.66763336352348,9.90563524459359,"DE4"
"DE40A",150065973.5,207524,723.125872188277,25254,6.58358330408485,10.1367398379986,"DE4"
"DE40B",17369320.55,112450,154.462610493553,26210,5.03995206377231,10.1738962963175,"DE4"
"DE40C",29154246.86,182397,159.839508654199,23824,5.07417024091028,10.0784487549238,"DE4"
"DE40D",20015755.48,99110,201.954953889618,24940,5.30804467198644,10.124228219234,"DE4"
"DE40E",15417063.9,210910,73.0978327248589,23815,4.29179871822948,10.078070913235,"DE4"
"DE40F",15629938.16,77573,201.486833821046,24696,5.30572403841345,10.114396566182,"DE4"
"DE40G",12998613.55,117635,110.499541377991,31391,4.70501137052378,10.354276506608,"DE4"
"DE40H",15433004.47,163553,94.3608767188618,33237,4.54712654570934,10.4114189921888,"DE4"
"DE40I",24529376.45,121014,202.698666683194,28494,5.31172047565237,10.2574488177772,"DE4"
"DE501",42980246.77,557464,77.0995916686997,48890,4.34509798442944,10.7973281555727,"DE5"
"DE502",19876785.1,114025,174.319536066652,34382,5.16089002924372,10.4452884506014,"DE5"
"DE600",95004612.47,1787410,53.1521097397911,61449,3.97315779806961,11.0259628414688,"DE6"
"DE711",15285306.15,155353,98.390801271942,75662,4.58894731667968,11.2340313318847,"DE7"
"DE712",26351809.57,732688,35.9659358007774,92423,3.58257226274384,11.4341311444038,"DE7"
"DE713",28281852.47,123734,228.569774435483,36982,5.43184152230161,10.5181865867669,"DE7"
"DE714",10324671.99,276218,37.3787080856425,61013,3.62110123978335,11.0188422352038,"DE7"
"DE715",1932862.7,266928,7.24113880896721,27513,1.97977848808446,10.2224138992271,"DE7"
"DE716",1507127.46,292773,5.14776792941972,26852,1.63856320896246,10.1980955850586,"DE7"
"DE717",5870147.78,266042,22.0647408303952,44092,3.09398089691925,10.6940336390832,"DE7"
"DE718",1471121.65,233427,6.30227715731256,45157,1.84091102163057,10.7179005855876,"DE7"
"DE719",3065767.89,411956,7.44197897348261,33367,2.00713680453514,10.4153226665953,"DE7"
"DE71A",1226914.59,232848,5.26916524943311,53658,1.66187195331518,10.8903858515742,"DE7"
"DE71B",517718.39,97000,5.33730298969072,26088,1.67472046727694,10.1692307174692,"DE7"
"DE71C",2347990.21,347357,6.75958800312071,40403,1.91096194191365,10.606659318618,"DE7"
"DE71D",3280069.81,184114,17.8154285388401,23498,2.8800648537132,10.0646705901275,"DE7"
"DE71E",3868203.24,301931,12.8115471415655,27954,2.55034688469429,10.2383155810449,"DE7"
"DE721",6633956.68,262505,25.271734557437,34826,3.22968656001937,10.4581195132393,"DE7"
"DE722",4673988.9,253167,18.4620779959473,32635,2.9157187902339,10.3931406110693,"DE7"
"DE723",2631686.93,171922,15.3074471562685,28359,2.72833945221759,10.2526997190935,"DE7"
"DE724",17323450.86,245241,70.6384774976452,34658,4.25757500308559,10.4532838582002,"DE7"
"DE725",63534280.27,107256,592.36108255016,26118,6.38411638568833,10.1703800107804,"DE7"
"DE731",14990428.11,197984,75.7153512910134,49019,4.32698093104672,10.7999632570372,"DE7"
"DE732",5173571.21,220132,23.502131493831,35709,3.1570911189021,10.483158036836,"DE7"
"DE733",4402023.75,121166,36.3305197002459,34272,3.59265815111967,10.4420839732475,"DE7"
"DE734",279522.09,235813,1.18535487865385,32260,0.170042205410467,10.3815833516792,"DE7"
"DE735",7657214.77,180310,42.466944539959,30004,3.74872599777568,10.3090859850895,"DE7"
"DE736",3995605.04,157592,25.354110868572,35706,3.23294088133067,10.4830740208729,"DE7"
"DE737",3825110.5,100715,37.9795512088567,24020,3.63704788880186,10.086642095634,"DE7"
"DE803",129118043.66,206011,626.753152307401,34164,6.44055276663469,10.438927737066,"DE8"
"DE804",130269436.17,96800,1345.75863811983,37335,7.20471317623513,10.5276865034698,"DE8"
"DE80J",101371941.2,262517,386.153815562421,25577,5.95623577600341,10.1494487891308,"DE8"
"DE80K",89374294.88,213473,418.667910602278,23194,6.0370780295394,10.0516489035166,"DE8"
"DE80L",29477282.9,224820,131.115038252824,22684,4.8760750924507,10.0294151091339,"DE8"
"DE80M",28587981.02,156270,182.939662251232,21948,5.20915638399951,9.99643129817887,"DE8"
"DE80N",70313062.35,238358,294.989311665646,22963,5.68693912404156,10.0416395039189,"DE8"
"DE80O",46335336.5,214113,216.405993564146,22360,5.37715624328077,10.015028927269,"DE8"
"DE911",25751918.99,251364,102.448715766776,71724,4.62936233938698,11.1805806986123,"DE9"
"DE912",15392504.22,101079,152.281920280177,50058,5.0257335416277,10.8209376121301,"DE9"
"DE913",1943079.99,124045,15.6643152888065,177552,2.7513852138291,12.0870188027403,"DE9"
"DE914",3571451.07,174205,20.5014268821216,20527,3.02049448772805,9.92949637171718,"DE9"
"DE916",7559123.29,138236,54.6827403136665,27796,4.00154812606575,10.2326474044342,"DE9"
"DE917",3807409.72,91500,41.6110351912568,19253,3.72836540111021,9.86542217172934,"DE9"
"DE918",11138696.78,134896,82.5724764262839,28081,4.41367640982026,10.2428484700412,"DE9"
"DE91A",12582988.78,132320,95.0951389056832,20817,4.55487785263694,9.94352523956766,"DE9"
"DE91B",5710892.26,120981,47.2048690290211,19528,3.85449704466567,9.8796046120728,"DE9"
"DE91C",44997717.39,329538,136.547886404603,33363,4.91667536925435,10.415202780487,"DE9"
"DE922",40331765.06,213976,188.487330635211,29499,5.23903079314498,10.2921116434483,"DE9"
"DE923",13192423.05,148281,88.9690725716713,33348,4.4882888101456,10.4147530795305,"DE9"
"DE925",23938037.66,277055,86.4017529371424,27133,4.45900796422853,10.2085059782348,"DE9"
"DE926",4942228.65,71659,68.9687080478377,29999,4.23365289517898,10.3089193267554,"DE9"
"DE927",66383080.95,120632,550.294125522249,29185,6.31045290896285,10.2814101576379,"DE9"
"DE928",7136472.46,156206,45.6862890029832,24041,3.82179823106805,10.0875159851218,"DE9"
"DE929",159610007.44,1144480,139.460722284356,43553,4.93778300093015,10.6817338662456,"DE9"
"DE931",13182769.79,177971,74.0725724415776,27937,4.30504532129357,10.237707254104,"DE9"
"DE932",16828807.73,198103,84.9497873833309,21311,4.44206034526997,9.96697865031733,"DE9"
"DE933",2197032.67,248122,8.8546467866614,22528,2.18094238186344,10.0225142589578,"DE9"
"DE934",6937415.31,50128,138.394017515161,24977,4.93010481620277,10.1257106803906,"DE9"
"DE935",44188162.75,180719,244.5130990654,26340,5.49926888238945,10.1788439752973,"DE9"
"DE936",11207618.2,113579,98.6768522350082,19421,4.59185039243945,9.87411023382545,"DE9"
"DE937",14232281.97,163253,87.1792982058523,30354,4.4679668968335,10.32068358352,"DE9"
"DE938",15789303.37,140264,112.568466391947,30965,4.72356162667923,10.3406128133722,"DE9"
"DE939",12491900.41,200054,62.4426425365151,29246,4.13424841596432,10.2834980911718,"DE9"
"DE93A",10265778.4,93131,110.229444545855,26375,4.70256405291558,10.1801718707784,"DE9"
"DE93B",22217071.59,134645,165.00480218352,29411,5.10597457761961,10.2891240330101,"DE9"
"DE941",5421825.85,76323,71.0379027291904,22185,4.26321357585497,10.007171663813,"DE9"
"DE942",7997955.18,50694,157.769266185347,69744,5.06113362509132,11.1525866744782,"DE9"
"DE943",34076005.45,163830,207.996126777757,44568,5.33751945826716,10.7047713917007,"DE9"
"DE944",52196829.87,162403,321.403113674008,47555,5.77269614110343,10.7696422149165,"DE9"
"DE945",12777427.37,75995,168.135105862228,39107,5.12476785776733,10.5740567580828,"DE9"
"DE946",8060450.82,121435,66.3766691645736,28401,4.19534562673478,10.254179634797,"DE9"
"DE947",13513722.7,189199,71.4259731816764,25038,4.26866157324875,10.1281499498196,"DE9"
"DE948",13635781.99,164734,82.7745455704348,32549,4.41612059348088,10.3905019251986,"DE9"
"DE949",34767485.43,319488,108.82250798152,39314,4.68971818785635,10.5793359685177,"DE9"
"DE94A",3267706.59,97900,33.3780039836568,25887,3.50789711967098,10.1614961911764,"DE9"
"DE94B",7446595.81,135662,54.8908007400746,30049,4.00534577054201,10.3105846615394,"DE9"
"DE94C",18481962.99,167548,110.308466767732,24279,4.7032806845803,10.0973670581638,"DE9"
"DE94D",1290474.58,128608,10.0341703471013,22537,2.30599630290632,10.0229136820187,"DE9"
"DE94E",1744124.73,358079,4.87078195035174,28733,1.58325448895931,10.2658015669883,"DE9"
"DE94F",12474335.67,137866,90.481595679863,42837,4.50514646737145,10.6651574940984,"DE9"
"DE94G",15075690.89,89239,168.936125348782,33934,5.12952068696343,10.4321727406029,"DE9"
"DE94H",4396843.04,57173,76.9041862417575,24164,4.34256031250402,10.0926192012586,"DE9"
"DEA11",424160053.88,612178,692.870462316516,76721,6.54084305865342,11.2479307438832,"DEA"
"DEA12",42105541.72,491231,85.71434156232,32877,4.45102015772102,10.4005286041315,"DEA"
"DEA13",82414926.82,582624,141.454740656066,40860,4.95197981189835,10.6179068683716,"DEA"
"DEA14",22186608.89,225144,98.5440824094802,36780,4.59050398521524,10.5127094981583,"DEA"
"DEA15",23156162.56,259996,89.0635339005215,32471,4.4893499791032,10.388102662282,"DEA"
"DEA16",10704212.9,169278,63.234518956982,32323,4.14685033807571,10.3835343301095,"DEA"
"DEA17",28976987.19,210934,137.374663117373,26912,4.92271196043596,10.2003275627727,"DEA"
"DEA18",8091017.87,109499,73.8912489611777,34929,4.30259440363751,10.4610727087051,"DEA"
"DEA19",16922429.38,158726,106.614098383378,30161,4.66921575799037,10.3143049780709,"DEA"
"DEA1A",39829802.98,350046,113.784482553722,36587,4.73430615522182,10.5074482650373,"DEA"
"DEA1B",13089338.1,310337,42.1778199183468,28457,3.74189448851687,10.2561494549844,"DEA"
"DEA1C",27807271.59,483279,57.5387541978857,37678,4.0524587068269,10.5368316487253,"DEA"
"DEA1D",15934131.51,450026,35.4071353877332,38715,3.56691336445354,10.5639824008208,"DEA"
"DEA1E",10930078.23,297661,36.7198868175542,27404,3.60331848343692,10.2184442671228,"DEA"
"DEA1F",27036239.36,462664,58.4360126571335,27051,4.06793235486846,10.205479252168,"DEA"
"DEA22",22760288.56,318809,71.3916124074289,69807,4.2681803891597,11.1534895702551,"DEA"
