"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","DEG","Thuringia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2007","2007","EUR","Euro","6","Millions","2015","2015",52252.4,,
"2","Large regions (TL2)","DE7","Hesse","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2005","2005","EUR","Euro","6","Millions","2015","2015",242273,,
"2","Large regions (TL2)","DE1","Baden-Württemberg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2008","2008","EUR","Euro","6","Millions",,,381903,,
"2","Large regions (TL2)","DEF","Schleswig-Holstein","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2005","2005","EUR","Euro","0","Units",,,23763,,
"2","Large regions (TL2)","DE4","Brandenburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2008","2008","EUR","Euro","6","Millions",,,54620.6,,
"2","Large regions (TL2)","DEF","Schleswig-Holstein","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2011","2011","EUR","Euro","6","Millions","2015","2015",81535.7,,
"2","Large regions (TL2)","DE2","Bavaria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2005","2005","EUR","Euro","0","Units",,,31825,,
"2","Large regions (TL2)","DE6","Hamburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2011","2011","EUR","Euro","6","Millions","2015","2015",101652,,
"2","Large regions (TL2)","DE6","Hamburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2008","2008","EUR","Euro","6","Millions",,,94516.2,,
"2","Large regions (TL2)","DEB","Rhineland-Palatinate","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2006","2006",,,"0","Units",,,151933,,
