"NUTS3","years_2014_15","years_2016_17","years_2018_19","GDPpercap_2020","GDPpercap_2018"
"DEG04",13.4052676962968,14.4159334943212,15.1451122722432,10.3617348460833,10.4434835536019
"DEE03",15.5151206690038,18.1694790276238,18.7719267901267,10.4992148293885,10.4612444709866
"DE409",11.7916945028285,14.6944198559069,15.4971777962411,10.0264128993734,9.97794546345414
"DED51",16.663621513276,17.5494488119833,18.0010688753191,10.5483369476883,10.5236338402116
"DE944",13.0076369455713,16.7584871903964,17.5087145717177,10.8614383276696,10.820458053315
"DEG0E",15.5272842194701,16.0592934267332,16.1181619392517,10.0727238697814,10.0363124456486
"DEG01",15.9610072142152,17.3594893222723,18.239752360963,10.6428024139411,10.5967097302837
"DED53",13.8113432765629,15.5186013237168,15.7322652836767,10.2489549256266,10.2210317792718
"DE501",12.7279865662816,16.6079366492374,17.435058364999,10.8242482790817,10.8360452568742
"DE80M",15.6114017169432,17.2954993786418,17.6609138000703,10.1122075831846,10.0838488559549
"DEA51",13.9167885277609,16.5695322896124,17.4970918052412,10.4657854546711,10.4230845946892
"DEA23",16.3055066916801,17.2566257423113,17.6499903980103,10.9742660502748,11.0078168015335
"DEA1A",14.1565641022088,16.322798569888,17.0174217878122,10.4770625979552,10.5146651702288
"DED2E",14.5452059564978,16.0144639593956,17.0537944205246,10.2425279172631,10.2426703978503
"DE928",11.1772778882236,15.8196941959956,16.6668678661445,10.1791476497606,10.1696522784005
"DE40A",14.3368304032619,16.0275242641559,16.8128780498031,10.2090954922712,10.1758402278629
"DEA36",14.0920234277028,15.5989527595555,17.0001010695987,10.1934295693888,10.1759163835251
"DE401",11.8293110225278,14.5405260081378,14.7831830601319,10.3992502986251,10.3846783711724
"DED44",14.1491861554905,16.1611672228741,17.0101173740511,10.184749057185,10.1488230313568
"DE947",13.2690083454323,16.2999133070379,16.9265226665286,10.2066615037558,10.18270893407
"DEE0B",13.1787212126127,16.418224766563,17.2573049792721,10.4474964700924,10.4762451784185
"DEA32",0,16.001157971138,16.5293895992123,10.3514692185806,10.3357568633963
"DE949",12.7211479864429,15.7652290009209,16.611741069145,10.6544318318223,10.640388425986
"DEE08",12.3374238820906,16.494381777565,17.4911442646568,10.1497615212392,10.1303442017622
"DEE07",13.6909494744028,16.0604240461525,17.3303231462632,10.2805188919817,10.2416369533594
"DEA38",10.7609777406598,15.0228796030301,14.5704752415161,10.4032320062913,10.3464411050553
"DEA14",13.8700659985624,14.910337835451,15.6567660503328,10.6269941856054,10.6315674196361
"DE946",12.8929564143152,15.612852078625,17.4652214037548,10.3949162666914,10.3370864998881
"DE40H",9.80884110241452,15.1960858075566,16.9083423321087,10.5200506209133,10.4834660349904
"DEA58",11.9349198750296,15.1291972838107,15.8413773129645,10.4855355605774,10.5187542694205
"DE600",14.9145884060206,17.3140062763381,17.2425600436337,11.0709260321341,11.0796471302166
"DE408",11.2990302655063,14.5313690954141,15.6497235688687,9.98331485239568,9.96119026266442
"DEA13",12.9979715995384,16.3199514784422,17.2631464633159,10.7154172690855,10.6955973256221
"DEG0G",14.3630909522744,15.8761303476587,16.188669910139,10.0932397668206,10.1102984492294
"DE40G",10.8906867865713,13.9848958523479,15.4766215673018,10.4662412691625,10.4841936537503
"DE406",12.7451517636833,16.0169273205222,16.7083755564477,10.4082246789616,10.4170594019701
"DE943",15.5070123442925,16.9709749151848,17.0350861725225,10.8079081118398,10.7595185959976
"DEA37",11.253699278249,14.9529457365406,16.3425291936091,10.4387520981791,10.4013191180067
"DE713",0,11.289781913656,15.4154586693351,10.5050675395706,10.520671194289
"DEA33",12.8615918485265,16.141273735604,16.8765436979499,10.9609479311567,10.9273583350769
"DE405",13.8500701863378,16.158440575859,17.0604721603227,10.0317928126891,10.0119382885409
"DEA5C",11.1980084888207,14.7406032126786,16.3571931787558,10.3191669830513,10.3514372722504
"DEA2C",12.7424301881071,16.4296200513792,16.9030576157511,10.2597974298461,10.2467580570512
"DE263",14.5798506543601,16.6057539208552,17.0587340992701,11.1040094091858,11.0744360065396
"DEG0B",15.1615203182497,16.5537441063255,16.6367998223615,10.2219412836547,10.2243021310238
"DEG0K",15.16012639639,16.3443253061382,16.8277895161381,10.3274472432805,10.2899057477241
"DEG0N",14.6733236615453,15.1150040857728,15.7601677001574,10.5281417366508,10.5844356256391
"DEG0L",15.6235317964063,16.4100879767202,16.5465414221207,10.052855384187,10.085434039
"DE94G",0,15.936825293221,16.6404657126896,10.4894392014925,10.3823580050606
"DEG0C",14.5187397884248,15.9905109449301,16.3160802709658,10.2727726531895,10.2500515527241
"DE40F",11.1987742895697,14.7683597630146,16.207043678152,10.2645478666674,10.1877638318531
"DEA11",14.7123511754423,16.9806650666579,17.4946409915444,11.3274509428009,11.3315114961936
"DE40C",10.6835461050854,15.2420172162568,16.3621728514739,10.2359159094003,10.1861445202714
"DEA42",12.3051242417415,14.4307051470145,15.3732397395536,10.8480158258215,10.7792062586452
"DE249",13.9580621664696,14.4229367840358,15.4082663503711,10.4667822791559,10.4690854121491
"DEA12",12.7649695179649,16.5814902586545,17.6562859007019,10.423441387129,10.5034223513739
"DE256",12.515567076865,16.4595881067135,16.9192448106627,10.3731161114518,10.3549770989556
"DE735",14.3019563952047,15.3905200123457,15.6995739219396,10.4162213545714,10.3394172014481
"DEB32",0,15.9313313515824,16.9339210930188,10.7888653657668,10.7826162507215
"DE945",13.5424604082498,15.4832419011776,16.1001914653209,10.6578474172641,10.6512176108664
"DEA45",13.889839443572,15.9341981353934,17.1944919427719,10.3478207475297,10.3280687778365
"DEA15",0,13.9670508393786,16.2981681964546,10.443600096927,10.4374631362008
"DEG0A",12.8255423247321,15.4215998784505,15.5647918590219,10.0448568979987,10.0153419373103
"DE229",15.8434986805952,15.2910751930522,15.5896951243743,10.4471191280273,10.4023215634497
"DEC04",14.0248656559676,15.1156777535643,15.3089212714831,10.3389644347123,10.3971771903554
"DEE05",13.961171170892,16.4744659984156,17.4758770170542,10.3379935294287,10.2812730915375
"DEE04",10.8475024921907,14.5771355521694,15.7171363728344,10.1469042086899,10.0817174164268
"DEB17",0,14.3754197923639,14.8029990551595,10.3799080495779,10.3473076145208
"DE80L",15.7703641821065,17.6435227771172,18.2856418532424,10.1659671949627,10.1202507928861
"DE94B",12.7986840305073,14.254261313481,14.8105766991978,10.429576102968,10.3686042602085
"DE94F",11.8282409679069,14.2808617166502,15.3795688926613,10.7491412048108,10.7044347706991
"DE722",13.8279330779628,15.6536441019511,16.2390600673189,10.445986246757,10.4465673718315
"DEA35",0,13.1047262537118,15.3218352705965,10.313110670793,10.2648962744474
"DE926",0,15.9943027444015,16.2897438024104,10.3816453460377,10.3473717705482
"DEB18",8.51719519141424,13.7362071598507,15.6956979586124,10.430786738995,10.4051715183848
"DEA5B",0,14.9654422725368,15.8615371961739,10.5030929886877,10.4898565463506
"DE71D",0,14.5923679304406,16.5857615430538,10.1615734470479,10.1385201482428
"DEC01",14.8735436944572,17.2110654793765,17.2589307507825,10.6844624434616,10.713950993163
"DE148",13.3629442615636,14.7894227692882,15.244611062507,10.7791229426693,10.7192505166363
"DEA46",10.9158336410468,14.8022701467228,14.7457007354354,10.6620947045679,10.6393589173059
"DE269",15.2537320625469,16.1375677334345,15.5315037680199,10.4751166056609,10.4529375578389
"DE936",13.5962454663173,14.6839066149987,15.8316656926177,9.95394299602462,9.93139450578914
"DE929",14.9718387204145,16.9320511685026,17.8290696572491,10.7560074685116,10.7361575164402
"DE918",13.8313839071206,16.0386313407168,16.0371505488605,10.2538979148951,10.2624199465161
"DEA1E",0,11.9325186337001,14.2116581503051,10.305446521315,10.265523102717
"DEA5A",13.3928500044556,15.7265364263185,16.4341815229704,10.5745936022192,10.6167559370923
"DEB3K",0,13.8929583787521,12.4262130318553,9.72316399840485,9.69670935530818
"DEB13",14.4315498866119,16.2802051425395,16.4597107852998,10.207252105818,10.2135058048336
"DEE01",12.2423308819305,15.8589459219573,16.8754338344603,10.3578698008789,10.2971836770443
"DEA17",0,14.3749912324866,15.6391534323537,10.2082848208435,10.2253898758736
"DE40E",12.6604070469521,15.9507405070799,16.8641626945879,10.2170566459398,10.1567722607623
"DE712",0,13.9740534208752,15.2519011280216,11.4372208342199,11.4573281848678
"DEB3A",0,0,13.7219644597526,10.7423139166265,10.8120887959259
"DE40B",13.5289434770117,15.0908580540233,15.0918994667569,10.2325034884809,10.2551298539468
"DE27B",16.0374797586431,17.6713111819374,16.3447006711374,10.4905517342879,10.4970906027597
"DEG09",14.9465074680175,16.0270324073237,16.1004620021767,10.1340832673754,10.1238672880276
"DE27E",12.2447584560332,15.563080800459,15.5478686338712,10.392588903828,10.4014710682888
"DE721",0,14.5499104562699,16.2839384230426,10.5143394903692,10.5049579445242
