"","Operation_Start_Date","Operation_End_Date","Total_Eligible_Expenditure_amount","months_between","years_between"
"37748",2017-03-27,2018-03-31,5000.01,12,1
"37749",2019-06-01,2020-02-28,56161.57,8,1
"37750",2019-11-29,2021-07-30,13400,20,2
"37751",2019-08-28,2022-06-30,958850,34,3
"37752",2016-03-24,2017-01-31,5000.01,10,1
"37753",2017-09-26,2018-01-31,5000.01,4,1
"37754",2016-10-01,2019-09-30,7000,35,3
"37755",2016-06-14,2016-06-16,1260,0,1
"37756",2016-11-14,2018-01-31,5000.01,14,2
"37757",2021-02-17,2021-04-17,4218.76,2,1
"37758",2020-05-08,2021-05-07,20000,11,1
"37759",2017-09-02,2017-12-04,2071.05,3,1
"37760",2018-04-01,2021-03-31,8000,35,3
"37761",2018-04-01,2018-05-31,6250.01,1,1
"37762",2021-06-30,2021-11-15,4500,4,1
"37763",2016-07-01,2019-06-30,287526.88,35,3
"37764",2018-02-23,2020-02-22,121891.81,23,2
"37765",2019-02-01,2021-12-31,305695.09,34,3
"37766",2021-02-01,2022-01-31,15226.5,11,1
"37767",2019-09-01,2022-08-31,373921.71,35,3
"37768",2015-06-14,2016-01-29,19667,7,1
"37769",2020-07-16,2021-12-15,139616.13,16,2
"37770",2017-09-19,2018-12-20,14843.76,15,2
"37771",2018-11-01,2018-09-30,6250.01,-1,1
"37772",2016-06-22,2017-01-31,5000.01,7,1
"37773",2020-08-13,2021-10-31,455651.4,14,2
"37774",2015-12-07,2017-12-06,81313.18,23,2
"37775",2016-01-06,2020-12-31,9e+05,59,5
"37776",2019-04-03,2020-04-27,62500.02,12,1
"37777",2021-04-01,2021-10-31,12455,6,1
"37778",2016-08-01,2017-01-31,5000.01,5,1
"37779",2016-10-17,2016-10-20,1600,0,1
"37780",2018-09-12,2018-09-15,4200,0,1
"37781",2019-02-14,2019-05-15,1845,3,1
"37782",2019-04-25,2020-09-03,105475.98,16,2
"37783",2018-09-01,2020-10-31,770116,25,3
"37784",2020-04-01,2022-01-31,680000,21,2
"37785",2018-11-01,2019-02-28,70423.64,3,1
"37786",2015-10-31,2016-06-30,7026.75,8,1
"37787",2016-11-02,2017-10-31,215000,11,1
"37788",2020-03-01,2022-06-30,268412.3,27,3
"37789",2019-08-15,2019-11-30,25000,3,1
"37790",2019-05-03,2020-06-30,26650.01,13,2
"37791",2017-11-27,2018-09-07,5000.01,9,1
"37792",2017-01-09,2021-09-30,2182750,56,5
"37793",2020-06-08,2021-09-30,2e+05,15,2
"37794",2017-01-01,2019-12-31,265071.75,35,3
"37795",2017-11-16,2019-01-31,32741.26,14,2
"37796",2016-05-10,2016-09-07,10075,3,1
"37797",2016-02-01,2018-12-15,120000,34,3
"37798",2017-07-20,2018-01-31,6250.01,6,1
"37799",2016-02-04,2019-10-31,1e+05,44,4
"37800",2018-10-22,2019-12-21,3995.53,13,2
"37801",2014-11-25,2015-06-15,5000.01,6,1
"37802",2017-01-14,2017-01-22,5760,0,1
"37803",2016-06-15,2019-03-31,459210.75,33,3
"37804",2019-11-05,2019-11-05,4505,0,1
"37805",2019-05-01,2022-04-30,638130,35,3
"37806",2020-03-23,2022-06-30,53125.01,27,3
"37807",2016-09-20,2017-03-31,68076.12,6,1
"37808",2018-01-09,2021-03-31,276703,38,4
"37809",2019-07-24,2020-01-29,5871.88,6,1
"37810",2016-04-15,2019-08-31,814042.1,40,4
"37811",2016-02-04,2018-12-30,189307.54,34,3
"37812",2017-10-27,2020-06-30,412073.36,32,3
"37813",2018-12-06,2022-09-30,689853.44,45,4
"37814",2017-04-12,2018-05-31,6250.01,13,2
"37815",2020-10-21,2021-04-30,40234.38,6,1
"37816",2019-08-01,2020-02-20,18131.46,6,1
"37817",2018-06-26,2018-09-16,7500,2,1
"37818",2020-09-26,2022-05-30,4359.38,20,2
"37819",2018-06-04,2019-03-31,12600,9,1
"37820",2015-11-13,2017-09-30,437216.11,22,2
"37821",2019-04-03,2020-09-30,911520,17,2
"37822",2021-07-01,2021-10-31,39300,3,1
"37823",2016-02-12,2018-06-30,5000.01,28,3
