"","Operation_Start_Date","Operation_End_Date","Total_Eligible_Expenditure_amount","months_between","years_between"
"10743",2016-04-01,2018-12-31,422540,32,3
"10744",2020-03-01,2022-12-31,268708.12,33,3
"10745",2020-05-03,2022-04-30,329173.75,23,2
"10746",2020-04-22,2021-06-19,4653.13,13,2
"10747",2019-01-03,2021-12-31,299571.25,35,3
"10748",2015-09-01,2016-09-30,67500,12,1
"10749",2019-03-26,2020-01-01,6250,9,1
"10750",2018-12-01,2021-10-31,15000,34,3
"10751",2016-11-01,2023-12-31,103400000,85,8
"10752",2016-01-01,2019-12-31,845321.02,47,4
"10753",2020-10-06,2021-01-31,20887.51,3,1
"10754",2019-06-25,2021-06-24,525170,23,2
"10755",2018-01-01,2020-12-31,277018,35,3
"10756",2020-03-26,2021-03-31,35630,12,1
"10757",2019-09-01,2021-02-28,17654.53,17,2
"10758",2015-09-04,2015-09-06,4500,0,1
"10759",2019-03-04,2021-11-30,2112669.51,32,3
"10760",2021-06-15,2021-07-30,28953.26,1,1
"10761",2017-08-01,2020-12-31,491103.91,40,4
"10762",2020-01-07,2022-05-31,525300,28,3
"10763",2017-03-13,2017-04-28,4925,1,1
"10764",2018-07-01,2022-06-30,808851,47,4
"10765",2016-12-01,2017-08-31,31329.61,8,1
"10766",2018-10-30,2020-09-30,34664.52,23,2
"10767",2020-10-11,2022-01-29,31250.01,15,2
"10768",2016-05-01,2016-10-31,428900.25,5,1
"10769",2018-08-18,2021-07-31,440429.01,35,3
"10770",2017-09-01,2019-02-28,244849.58,17,2
"10771",2018-08-01,2021-12-31,656737.5,40,4
"10772",2017-10-02,2019-05-01,93600,18,2
"10773",2018-07-09,2019-01-31,3100,6,1
"10774",2015-01-23,2016-01-29,5000.01,12,1
"10775",2017-10-16,2021-06-30,127955.12,44,4
"10776",2018-08-05,2019-01-31,6250.01,5,1
"10777",2017-11-13,2018-03-28,7500,4,1
"10778",2019-06-01,2022-05-31,534174.69,35,3
"10779",2018-02-20,2018-08-31,5000.01,6,1
"10780",2020-09-10,2021-03-10,30000,6,1
"10781",2015-04-10,2016-06-30,290603.32,14,2
"10782",2019-09-01,2022-08-31,53895,35,3
"10783",2018-07-28,2019-11-15,7500,15,2
"10784",2018-01-09,2022-12-31,4297911.31,59,5
"10785",2019-04-15,2021-09-30,93900,29,3
"10786",2019-06-04,2021-06-30,1160804.56,24,2
"10787",2020-07-13,2021-04-15,16874.26,9,1
"10788",2017-04-28,2018-01-14,6000,8,1
"10789",2015-09-14,2016-05-31,5000.01,8,1
"10790",2015-09-01,2017-06-30,49902.2,21,2
"10791",2017-06-06,2018-12-31,267500,18,2
"10792",2018-10-01,2022-06-30,961033.37,44,4
"10793",2019-02-01,2021-12-31,204590.75,34,3
"10794",2016-11-01,2019-03-29,163251.96,28,3
"10795",2018-11-30,2019-10-15,32271.3,10,1
"10796",2015-05-15,2017-06-30,74617.95,25,3
"10797",2017-03-01,2020-05-31,799977.2,38,4
"10798",2019-07-26,2022-04-30,45000,33,3
"10799",2016-04-15,2019-12-31,645794.28,44,4
"10800",2017-05-22,2017-10-27,12150,5,1
"10801",2020-11-14,2022-12-31,1056500,25,3
"10802",2017-04-19,2018-08-31,5000.01,16,2
"10803",2017-03-08,2017-03-14,1416.58,0,1
"10804",2019-10-01,2022-06-30,296902.8,32,3
"10805",2020-09-02,2022-06-30,318000,21,2
"10806",2019-05-29,2020-09-01,5000,15,2
"10807",2019-06-01,2022-12-31,4595000,42,4
"10808",2016-06-05,2018-10-31,33850,28,3
"10809",2019-01-01,2021-12-31,201625.13,35,3
"10810",2018-08-01,2021-07-31,229500,35,3
"10811",2019-04-01,2021-07-31,313762,27,3
"10812",2017-03-15,2019-02-08,38003.98,22,2
"10813",2017-07-02,2017-06-30,5000.01,0,1
"10814",2018-05-07,2019-06-30,59268.62,13,2
"10815",2019-01-02,2020-10-31,99484.88,21,2
"10816",2021-06-16,2022-09-15,6000,14,2
"10817",2019-06-27,2020-02-29,7877.93,8,1
"10818",2018-05-29,2018-08-31,7500,3,1
"10819",2020-07-01,2022-10-31,327998.13,27,3
"10820",2020-05-01,2020-10-31,36943.5,5,1
"10821",2015-11-01,2018-09-30,2255608.13,34,3
"10822",2018-06-29,2018-08-14,7500,1,1
"10823",2020-03-09,2022-01-30,99940,22,2
"10824",2018-11-04,2018-07-31,6250.01,-3,1
"10825",2018-01-01,2019-03-31,176925.26,14,2
"10826",2019-07-01,2022-06-30,1051549.8,35,3
"10827",2015-01-04,2018-06-09,1320453.75,41,4
"10828",2017-05-22,2017-11-06,15697.48,5,1
"10829",2020-03-15,2022-01-31,186666,22,2
"10830",2021-05-01,2021-06-30,10100,1,1
"10831",2019-08-01,2021-07-31,15000,23,2
"10832",2016-06-13,2018-11-15,75332,29,3
"10833",2018-09-06,2019-11-05,126000,13,2
"10834",2018-09-18,2019-06-30,16000,9,1
"10835",2016-04-13,2016-10-31,5000.01,6,1
"10836",2019-11-02,2020-03-30,20995.57,4,1
"10837",2021-05-04,2022-05-06,10000,12,1
"10838",2014-08-28,2016-08-28,4e+05,24,2
"10839",2019-07-05,2020-02-01,3100,6,1
"10840",2019-12-01,2022-06-30,271660,30,3
"10841",2017-04-20,2019-12-31,622727.94,32,3
"10842",2016-07-15,2017-03-31,26250.01,8,1
"10843",2016-01-11,2019-04-30,119317.25,39,4
"10844",2018-06-14,2019-06-11,7972.02,11,1
"10845",2019-07-10,2021-06-06,12174.26,22,2
"10846",2015-10-01,2016-08-31,62250,10,1
"10847",2015-01-10,2023-12-31,4775018.69,107,9
"10848",2018-09-11,2018-12-15,8000,3,1
"10849",2020-12-01,2021-12-31,50000,12,1
"10850",2020-07-15,2021-11-29,59003.13,16,2
"10851",2017-11-01,2020-03-31,74956.69,28,3
"10852",2018-01-07,2019-08-01,25000,18,2
"10853",2017-11-22,2017-11-26,5154.3,0,1
"10854",2019-01-01,2020-06-30,527402.47,17,2
"10855",2019-04-18,2020-04-15,6856.21,11,1
"10856",2015-12-17,2016-05-31,6250.01,5,1
"10857",2020-07-01,2022-06-30,366318.12,23,2
"10858",2017-11-01,2018-07-31,40660,8,1
"10859",2017-09-08,2020-07-31,20000,34,3
"10860",2016-06-03,2021-04-30,544779,58,5
"10861",2020-07-01,2022-03-31,149971,20,2
"10862",2017-06-09,2018-11-30,28000,17,2
"10863",2019-03-01,2021-02-28,97596,23,2
"10864",2017-01-30,2020-06-30,234600,41,4
"10865",2020-10-01,2022-07-30,372358.56,21,2
"10866",2020-01-02,2022-01-31,307893,24,2
"10867",2017-10-26,2018-12-11,72681.75,13,2
"10868",2020-02-21,2022-07-30,2085000,29,3
"10869",2015-10-22,2018-05-01,400299.37,30,3
"10870",2016-03-15,2016-11-30,150000,8,1
"10871",2018-03-26,2018-12-15,18959.37,8,1
"10872",2019-07-22,2020-12-21,95000.02,16,2
"10873",2019-12-01,2021-01-30,31378,13,2
"10874",2018-07-17,2021-12-31,1360114.3,41,4
"10875",2015-11-01,2018-09-30,1179512.07,34,3
"10876",2016-04-20,2017-06-30,808731.33,14,2
"10877",2019-12-17,2021-06-30,2108025,18,2
"10878",2021-03-10,2023-06-30,10653830,27,3
"10879",2017-10-20,2018-01-31,5000.01,3,1
"10880",2015-03-26,2015-08-31,5000.01,5,1
"10881",2020-02-10,2021-11-29,10231.26,21,2
"10882",2019-06-18,2019-10-12,7500,3,1
"10883",2017-11-15,2018-06-30,11575,7,1
"10884",2018-03-09,2020-01-31,185100,22,2
"10885",2019-08-28,2021-06-30,166815.17,22,2
"10886",2016-10-10,2017-03-31,45967.55,5,1
"10887",2018-06-12,2022-01-31,2383451.21,43,4
"10888",2020-01-01,2022-12-31,472016,35,3
"10889",2019-01-09,2019-10-31,25000,9,1
"10890",2016-01-01,2016-04-30,23800,3,1
"10891",2018-07-01,2019-03-31,25190.08,8,1
"10892",2017-01-01,2020-09-30,1420416,44,4
"10893",2020-12-18,2022-06-30,341434.86,18,2
"10894",2017-07-19,2018-05-31,6250.01,10,1
"10895",2015-09-01,2017-12-31,107750.02,27,3
"10896",2016-10-01,2020-03-31,376754,41,4
"10897",2016-02-23,2017-03-10,13000,12,1
"10898",2015-01-01,2021-12-31,203304.79,83,7
"10899",2018-02-23,2020-09-30,684918.38,31,3
"10900",2020-07-01,2022-04-30,145353.75,21,2
"10901",2016-08-01,2019-12-31,920343.92,40,4
"10902",2018-09-18,2019-06-30,21792.2,9,1
"10903",2018-05-09,2021-12-31,125000,43,4
"10904",2016-02-03,2017-03-31,93727.49,13,2
"10905",2018-01-10,2018-09-28,53539.29,8,1
"10906",2018-01-08,2020-11-30,240597,34,3
"10907",2019-02-01,2019-12-31,648268,10,1
"10908",2016-01-01,2019-06-30,421912.5,41,4
"10909",2016-09-15,2017-01-31,5000.01,4,1
"10910",2017-08-03,2018-08-30,132356.81,12,1
"10911",2018-09-27,2019-01-03,5790,3,1
"10912",2021-02-05,2022-02-07,10000,12,1
"10913",2020-01-08,2022-01-31,408800,24,2
"10914",2016-07-01,2019-06-30,704375,35,3
"10915",2019-10-15,2022-10-14,1159530.78,35,3
"10916",2015-05-15,2015-11-15,12468.76,6,1
"10917",2018-09-20,2019-05-31,6250,8,1
"10918",2021-05-17,2022-06-30,979783.16,13,2
"10919",2017-01-28,2017-01-31,2568,0,1
"10920",2018-02-28,2019-05-27,4500,14,2
"10921",2021-02-15,2021-08-14,25000,5,1
"10922",2019-06-07,2022-05-30,108592.31,35,3
"10923",2015-01-01,2016-12-31,615264.93,23,2
"10924",2018-01-31,2021-01-30,2300000,35,3
"10925",2018-01-08,2018-10-31,6250.01,9,1
"10926",2020-02-12,2021-06-29,28406.26,16,2
"10927",2020-07-13,2021-04-30,56601.56,9,1
"10928",2015-10-19,2019-06-30,13387.5,44,4
"10929",2018-08-01,2021-07-31,1521814.38,35,3
"10930",2019-11-01,2021-11-30,21425,24,2
"10931",2018-05-10,2020-04-03,98437.51,22,2
"10932",2016-03-08,2016-09-30,12492,6,1
"10933",2015-08-01,2021-12-31,4209157.34,76,7
"10934",2018-02-28,2019-08-31,5000.01,18,2
"10935",2016-07-14,2018-06-22,6000,23,2
"10936",2019-08-01,2022-07-31,827115.39,35,3
"10937",2019-08-23,2020-10-31,150770.57,14,2
"10938",2018-01-22,2018-06-07,7500,4,1
"10939",2016-01-22,2016-06-30,6250.01,5,1
"10940",2017-06-01,2018-11-30,262859.65,17,2
"10941",2017-01-10,2018-01-16,16504.78,12,1
"10942",2014-06-02,2015-03-31,5000.01,9,1
"10943",2015-10-15,2015-12-31,17894.7,2,1
"10944",2019-10-01,2022-04-30,236316.6,30,3
"10945",2020-12-01,2021-11-30,98336.2,11,1
"10946",2020-11-15,2022-06-30,149490.5,19,2
"10947",2019-01-01,2021-12-31,330200,35,3
"10948",2020-03-10,2020-08-31,83333.33,5,1
"10949",2017-02-27,2017-08-31,5000.01,6,1
"10950",2016-04-12,2017-07-11,4500,14,2
"10951",2021-02-01,2021-05-31,70590,3,1
"10952",2017-10-01,2018-09-30,107425.7,11,1
"10953",2017-05-29,2017-12-31,121737.4,7,1
"10954",2020-11-26,2022-11-25,20000,23,2
"10955",2018-12-03,2018-11-09,12500,0,1
"10956",2018-04-01,2021-09-30,244475.43,41,4
"10957",2019-01-17,2019-08-22,5000,7,1
"10958",2019-05-07,2019-11-29,18810.48,6,1
"10959",2018-09-27,2019-02-28,5000,5,1
"10960",2020-12-10,2022-03-09,6000,14,2
"10961",2020-08-24,2023-08-23,8000,35,3
"10962",2020-08-06,2021-06-30,56072.4,10,1
"10963",2016-01-21,2016-07-24,4250.21,6,1
"10964",2020-01-08,2021-07-31,122845,18,2
"10965",2017-01-23,2017-03-31,20055.04,2,1
"10966",2018-06-12,2019-09-25,3750,15,2
"10967",2018-02-23,2018-07-21,6821.22,4,1
"10968",2016-07-28,2021-07-31,241500,60,5
"10969",2019-09-26,2022-06-30,5775943.33,33,3
"10970",2018-04-01,2020-09-30,187429,29,3
"10971",2019-08-01,2020-12-31,87178.03,16,2
"10972",2015-10-12,2016-06-30,296000,8,1
"10973",2017-02-15,2018-12-31,411974.18,22,2
"10974",2019-03-06,2020-10-30,39750.01,19,2
"10975",2018-08-13,2019-03-31,8328.13,7,1
"10976",2016-11-22,2018-05-31,86792.78,18,2
"10977",2019-09-01,2023-08-31,278540,47,4
"10978",2019-11-22,2021-02-21,6000,14,2
"10979",2018-12-10,2021-09-30,1098591.23,33,3
"10980",2019-04-18,2020-04-20,10000,12,1
"10981",2017-10-25,2019-01-31,50000.01,15,2
"10982",2014-10-06,2015-03-31,5000.01,5,1
"10983",2017-11-29,2018-05-31,6250.01,6,1
"10984",2020-05-11,2021-06-24,7500,13,2
"10985",2018-07-17,2019-05-30,250873.67,10,1
"10986",2018-08-08,2018-11-14,3100,3,1
"10987",2021-03-16,2022-03-31,66430.8,12,1
"10988",2018-04-24,2019-08-19,4500,15,2
"10989",2018-10-09,2018-10-11,2500,0,1
"10990",2021-03-29,2022-02-28,61942,11,1
"10991",2021-03-01,2022-12-31,272138.68,21,2
"10992",2016-09-05,2019-12-31,237838.37,39,4
"10993",2018-03-23,2018-06-28,3100,3,1
"10994",2017-11-06,2021-06-30,730426,43,4
"10995",2016-09-13,2018-09-30,69074.37,24,2
"10996",2016-07-01,2019-06-30,212449.24,35,3
"10997",2019-07-01,2022-06-30,244363.73,35,3
"10998",2018-12-17,2019-09-19,7500,9,1
"10999",2019-08-13,2021-12-08,6418.76,27,3
"11000",2018-04-01,2019-12-31,786281.28,20,2
"11001",2016-07-01,2018-05-31,906250.65,22,2
"11002",2018-03-16,2018-07-31,6250.01,4,1
"11003",2018-02-15,2018-10-05,7500,7,1
"11004",2020-04-09,2022-10-31,5000,30,3
"11005",2019-05-17,2020-03-18,6250,10,1
"11006",2018-11-02,2021-10-31,389200,35,3
"11007",2020-09-17,2020-12-31,12742.5,3,1
"11008",2017-04-22,2017-04-23,1000,0,1
"11009",2016-09-03,2016-12-05,2362.88,3,1
"11010",2016-01-01,2018-07-02,473448.81,30,3
"11011",2018-03-16,2021-12-31,431829.54,45,4
"11012",2020-04-20,2023-04-19,8000,35,3
"11014",2016-09-05,2018-12-20,55602.23,27,3
"11015",2020-10-08,2021-10-07,20000,11,1
"11016",2015-12-14,2016-09-26,22277.94,9,1
"11017",2016-01-07,2019-07-31,176270.88,42,4
"11018",2021-01-26,2022-06-30,840000,17,2
"11019",2016-03-14,2017-12-31,207283.72,21,2
"11020",2020-11-07,2021-07-29,5000,8,1
"11021",2016-05-24,2017-01-31,6250.01,8,1
"11022",2018-08-13,2021-08-12,14598776.96,35,3
"11023",2019-01-01,2021-09-30,914556.69,32,3
"11024",2019-02-23,2019-03-03,1521.28,0,1
"11025",2016-07-25,2020-12-31,196403.64,53,5
"11026",2021-01-12,2021-09-30,52315.06,8,1
"11027",2019-01-01,2021-12-31,297218.92,35,3
"11028",2019-07-08,2021-05-11,33800,22,2
"11029",2020-02-07,2021-03-31,1607552.97,13,2
"11030",2020-06-26,2022-12-31,1031494.83,30,3
"11031",2016-11-18,2017-09-30,41217.34,10,1
"11032",2017-07-13,2017-09-28,13000,2,1
"11033",2019-05-17,2019-09-16,5000,3,1
"11034",2016-02-24,2021-03-31,78572.5,61,6
"11035",2020-01-23,2021-03-31,8765.83,14,2
"11036",2015-11-02,2016-04-29,6250.01,5,1
"11037",2020-01-01,2021-12-31,671000,23,2
"11038",2016-11-30,2018-03-31,2148357.84,16,2
"11039",2016-02-17,2016-08-30,6250.01,6,1
"11040",2015-01-01,2023-12-31,28920995.67,107,9
"11041",2017-08-04,2021-07-31,53120,47,4
"11042",2017-08-22,2018-08-31,5000.01,12,1
"11043",2019-03-01,2022-02-28,159072.5,35,3
"11044",2017-02-10,2018-09-30,637620.63,19,2
"11045",2018-01-16,2018-11-30,332516.75,10,1
"11046",2015-01-09,2019-08-31,286050.5,55,5
"11047",2017-04-06,2017-12-31,47250,8,1
"11048",2019-01-02,2019-07-31,24418.94,6,1
"11049",2020-08-06,2021-06-30,111300.65,10,1
"11050",2015-10-01,2016-01-11,18055.59,3,1
"11051",2019-02-01,2022-01-31,229436.53,35,3
"11052",2019-02-20,2020-02-19,40000,11,1
"11053",2016-09-30,2017-05-31,5000.01,8,1
"11054",2017-07-25,2018-01-31,6250.01,6,1
"11055",2019-05-28,2019-08-20,7500,2,1
"11056",2015-05-18,2016-01-29,5000.01,8,1
"11057",2015-09-30,2021-06-30,3561320.46,69,6
"11058",2019-11-04,2020-03-31,12750,4,1
"11059",2015-01-06,2018-09-30,233495,44,4
"11060",2016-08-08,2018-07-31,869200,23,2
"11061",2016-01-22,2016-07-31,5000.01,6,1
"11062",2019-09-09,2022-11-30,10587760,38,4
"11063",2020-05-15,2021-07-31,52246.89,14,2
"11064",2017-08-28,2021-12-31,774500,52,5
"11065",2017-09-01,2018-12-31,44960.48,15,2
"11066",2014-12-18,2020-12-31,977033.83,72,6
"11067",2020-01-01,2022-12-31,2141137.8,35,3
"11068",2020-04-17,2023-06-30,215932,38,4
"11069",2021-05-16,2021-06-24,7500,1,1
"11070",2016-08-01,2016-10-30,12725,2,1
"11071",2016-06-08,2016-07-30,36000,1,1
"11072",2019-04-01,2022-04-30,80623.72,36,3
"11073",2018-12-09,2020-04-30,19662.51,16,2
"11074",2021-05-02,2022-02-28,39685,9,1
"11075",2018-05-11,2019-07-10,297881.37,13,2
"11076",2017-09-14,2018-06-30,491000,9,1
"11077",2019-05-15,2021-09-30,46000,28,3
"11078",2016-10-17,2017-05-31,5000.01,7,1
"11079",2018-04-01,2021-08-31,769596.76,40,4
"11080",2017-01-01,2020-09-30,768511.88,44,4
"11081",2017-02-20,2017-09-30,30016,7,1
"11082",2018-04-16,2018-06-07,7500,1,1
"11083",2017-02-28,2017-06-22,13000,3,1
"11084",2020-02-15,2020-02-19,6120,0,1
"11085",2018-01-01,2019-06-30,306049.8,17,2
"11086",2021-02-01,2022-02-28,11200,12,1
"11087",2021-05-10,2022-05-12,10000,12,1
"11088",2016-07-12,2017-09-30,19975.01,14,2
"11089",2017-02-01,2019-03-31,105995.45,25,3
"11090",2018-03-07,2018-03-13,1262,0,1
"11091",2016-06-14,2016-11-10,13000,4,1
"11092",2015-01-11,2018-04-30,516948.75,39,4
"11093",2020-08-07,2021-08-01,277745,11,1
"11094",2015-11-02,2016-10-31,104703.48,11,1
"11095",2020-01-01,2021-03-31,167374.2,14,2
"11096",2013-05-13,2016-10-31,7200000,41,4
"11097",2018-07-01,2019-12-31,167405,17,2
"11098",2017-12-11,2019-06-01,16825.04,17,2
"11099",2016-04-25,2016-04-29,2010,0,1
"11100",2016-11-01,2016-06-30,6250.01,-4,1
"11101",2016-12-01,2016-08-31,5000.01,-3,1
"11102",2018-12-02,2019-04-30,3750.01,4,1
"11103",2015-07-24,2016-08-31,5000.01,13,2
"11104",2019-05-10,2020-08-09,1500,14,2
"11105",2015-07-08,2019-03-25,1e+07,44,4
"11106",2021-05-20,2022-04-17,5000,10,1
"11107",2015-08-11,2015-11-30,90913.34,3,1
"11108",2020-01-01,2023-12-15,460000,47,4
"11109",2015-12-18,2016-07-31,290850,7,1
"11110",2014-09-24,2015-07-31,5000.01,10,1
"11111",2015-07-01,2017-11-30,350020,28,3
"11112",2018-12-12,2020-01-21,5000,13,2
"11113",2018-04-16,2019-01-04,4590,8,1
"11114",2015-01-02,2018-04-30,264278,39,4
"11115",2017-09-25,2017-09-29,11355.75,0,1
"11116",2017-03-11,2018-10-31,6250.01,19,2
"11117",2015-03-11,2016-09-30,9580.48,18,2
"11118",2019-11-01,2022-10-31,280317,35,3
"11119",2020-11-26,2021-07-31,49000,8,1
"11120",2017-12-20,2018-11-30,8985.73,11,1
"11121",2018-04-14,2018-04-15,3802.44,0,1
"11122",2015-09-15,2016-03-31,70006.22,6,1
"11123",2019-06-07,2020-08-06,20750,13,2
"11124",2019-03-12,2020-03-27,5000,12,1
"11125",2018-11-27,2022-11-30,35516.5,48,4
"11126",2020-08-20,2021-12-31,1843000,16,2
"11127",2017-09-01,2020-08-31,618836.6,35,3
"11128",2016-05-01,2018-04-30,506947.5,23,2
"11129",2019-07-01,2021-02-28,96009.84,19,2
"11130",2015-04-01,2016-10-31,413436.06,18,2
"11131",2019-01-01,2020-03-31,638669.08,14,2
"11132",2018-01-03,2021-08-31,278902.5,43,4
"11133",2014-05-03,2015-04-30,5000.01,11,1
"11134",2014-05-03,2015-04-30,5000.01,11,1
"11135",2016-11-09,2017-10-18,50000,11,1
"11136",2019-01-01,2021-12-31,950425,35,3
"11137",2019-06-07,2019-09-30,57805,3,1
"11138",2020-01-11,2022-06-30,162372.5,29,3
"11139",2016-10-17,2018-01-31,5000.01,15,2
"11141",2016-05-13,2018-04-30,1254400,23,2
"11142",2020-01-01,2021-12-31,220000,23,2
"11143",2018-10-01,2021-03-31,474125.51,29,3
"11144",2017-12-04,2019-03-31,48032.38,15,2
"11145",2015-03-24,2016-06-30,29299.12,15,2
"11146",2018-08-01,2019-03-30,336906.99,7,1
"11147",2019-03-11,2019-07-31,9122,4,1
"11148",2021-07-01,2021-10-31,30000,3,1
"11149",2016-07-01,2018-06-30,216106,23,2
"11150",2019-01-05,2021-10-31,268331.25,33,3
"11151",2020-10-28,2021-10-30,10000,12,1
"11152",2019-01-01,2022-12-31,3736000,47,4
"11154",2017-01-26,2019-02-28,6250.01,25,3
"11155",2020-07-22,2022-06-30,120013,23,2
"11156",2020-08-06,2020-12-30,343000,4,1
"11157",2018-06-18,2020-12-31,1669660.32,30,3
"11158",2017-03-15,2018-03-15,30084.59,12,1
"11159",2020-07-21,2022-06-30,146998.33,23,2
"11160",2018-06-18,2021-12-31,2092960,42,4
"11161",2018-08-01,2018-12-15,936480,4,1
"11162",2020-08-26,2021-02-28,17344.37,6,1
"11163",2020-10-15,2021-10-17,10000,12,1
"11164",2020-09-03,2021-05-31,50000,8,1
"11165",2019-01-05,2020-08-31,49373.98,19,2
"11166",2016-02-12,2016-05-15,2345.87,3,1
"11167",2016-12-20,2017-06-30,291331.56,6,1
"11168",2018-11-01,2021-01-31,319845.77,26,3
"11169",2019-01-01,2019-08-31,25000,7,1
"11170",2019-08-09,2023-04-30,639303,44,4
"11171",2020-01-15,2021-04-30,262120.87,15,2
"11172",2019-05-06,2020-02-23,30000,9,1
"11173",2020-03-18,2020-10-15,3332.96,6,1
"11174",2020-01-30,2021-03-31,73875,14,2
"11175",2016-05-01,2018-06-30,521000,25,3
"11176",2019-01-01,2022-06-30,512825,41,4
"11177",2016-05-24,2017-01-15,7220.96,7,1
"11178",2016-10-01,2017-04-28,83333.33,6,1
"11179",2019-02-13,2020-10-30,132744.5,20,2
"11180",2015-03-12,2016-05-31,3750.01,14,2
"11181",2017-07-14,2019-12-31,69018.82,29,3
"11182",2019-11-18,2020-10-31,87551.91,11,1
"11183",2019-07-24,2021-03-31,29078.66,20,2
"11184",2015-01-26,2016-04-29,6250.01,15,2
"11185",2016-06-14,2017-10-05,10225.1,15,2
"11186",2020-08-21,2022-02-02,8455,17,2
"11187",2016-03-10,2016-11-30,4949,8,1
"11188",2015-07-01,2017-12-31,296634,29,3
"11189",2017-01-11,2020-10-31,561942.5,45,4
"11190",2017-09-28,2019-02-28,188807,17,2
"11191",2017-02-14,2018-02-16,142247.89,12,1
"11192",2020-05-01,2022-10-31,633708.75,29,3
"11193",2020-06-17,2021-09-16,6000,14,2
"11194",2019-09-11,2019-09-12,2000,0,1
"11195",2016-11-29,2018-01-31,5000.01,14,2
"11196",2019-02-14,2019-10-06,5000,7,1
"11197",2019-01-01,2022-12-31,850950.33,47,4
"11198",2019-04-04,2020-09-30,552619.72,17,2
"11199",2017-04-01,2021-10-31,511246,54,5
"11200",2019-04-16,2019-05-29,5000,1,1
"11201",2016-08-09,2019-12-31,122416.75,40,4
"11202",2021-04-01,2022-02-28,150000,10,1
"11203",2016-12-12,2020-12-31,173698.8,48,4
"11204",2018-09-13,2018-09-15,4518,0,1
"11205",2019-07-15,2021-01-14,1e+05,17,2
"11206",2019-01-30,2020-06-30,22902.65,17,2
"11207",2017-01-14,2018-11-08,6000,21,2
"11208",2018-05-14,2018-12-31,53206.87,7,1
"11209",2016-03-15,2016-04-05,13000,0,1
"11210",2017-05-02,2020-05-01,7000,35,3
"11211",2020-07-06,2022-08-31,244000,25,3
"11212",2016-11-10,2019-05-31,127718.15,30,3
"11213",2019-01-01,2021-06-30,469331.29,29,3
"11214",2016-08-01,2019-07-31,439444.6,35,3
"11215",2020-01-01,2023-06-30,53316,41,4
"11216",2017-03-23,2017-08-30,6095.01,5,1
"11217",2021-03-25,2022-12-31,20000,21,2
"11218",2016-02-18,2017-08-31,265000,18,2
"11219",2018-12-28,2020-03-28,38129.57,15,2
"11220",2014-05-16,2015-05-27,5000.01,12,1
"11221",2018-07-05,2018-06-12,3140.01,0,1
"11222",2020-05-01,2021-09-30,51953.1,16,2
"11223",2020-10-01,2022-07-31,348072.51,21,2
"11224",2014-09-09,2023-12-31,7513834.62,111,10
"11225",2017-09-11,2018-07-31,2695.33,10,1
"11226",2020-02-12,2021-10-31,19334.07,20,2
"11227",2016-10-11,2018-09-01,23118.76,22,2
"11228",2020-05-15,2021-12-31,150000,19,2
"11229",2019-08-15,2022-08-14,556933.03,35,3
"11230",2017-12-12,2018-08-31,6250.01,8,1
"11231",2020-01-13,2022-12-31,1216000,35,3
"11232",2015-12-03,2015-12-06,4928,0,1
"11233",2016-07-13,2017-06-30,174484.68,11,1
"11234",2019-01-17,2019-05-31,5000,4,1
"11235",2019-09-12,2021-01-29,21979.68,16,2
"11236",2016-01-01,2018-12-31,17387000,35,3
"11237",2018-08-29,2021-06-30,132994.69,34,3
"11238",2018-01-09,2021-07-31,157235,42,4
"11239",2020-05-01,2021-10-31,355553.28,17,2
"11240",2016-06-15,2019-05-31,143076.58,35,3
"11241",2018-09-18,2018-12-21,8000,3,1
"11242",2019-12-12,2022-05-31,1513456.35,29,3
"11243",2019-08-07,2020-09-13,62500.02,13,2
"11244",2017-01-01,2019-12-31,223008.33,35,3
"11245",2016-11-11,2019-08-12,520000,33,3
"11246",2015-06-22,2015-06-25,2608.61,0,1
"11247",2018-09-01,2020-07-31,285870,22,2
"11248",2019-09-06,2022-12-31,1327387,39,4
"11249",2019-03-21,2021-06-30,3858527.22,27,3
"11250",2016-12-01,2019-11-30,811400,35,3
"11252",2018-07-01,2018-10-31,7420,3,1
"11253",2018-07-20,2018-12-31,20464.05,5,1
"11254",2019-10-01,2020-11-30,70125,13,2
"11255",2016-07-03,2017-08-08,31155.48,13,2
"11256",2021-04-01,2022-05-31,96930,13,2
"11257",2019-12-18,2023-03-31,25644.5,39,4
"11258",2019-05-01,2022-06-30,52880,37,4
"11259",2015-07-20,2017-03-30,5000.01,20,2
"11260",2020-03-01,2022-05-31,237800,26,3
"11261",2016-06-01,2016-09-30,12927,3,1
"11262",2017-01-04,2019-08-13,64914,31,3
"11263",2014-01-01,2016-06-30,539731.88,29,3
"11264",2017-04-01,2018-03-30,849000,11,1
"11265",2018-07-18,2018-08-11,4000,0,1
"11266",2018-11-06,2019-02-22,17787.5,3,1
"11267",2016-07-15,2023-12-31,1815562.8,89,8
"11268",2015-02-18,2015-05-31,5000.01,3,1
"11269",2020-07-20,2023-02-28,22610000,31,3
"11270",2017-09-01,2022-01-31,36000,52,5
"11271",2016-01-08,2016-05-27,13000,4,1
"11272",2019-09-02,2020-11-01,12800,13,2
"11273",2017-08-12,2019-01-31,5000.01,17,2
"11274",2017-01-01,2019-12-31,421954,35,3
"11275",2021-01-01,2022-05-31,1498000,16,2
"11276",2018-04-24,2018-04-26,5200,0,1
"11277",2020-05-01,2022-07-30,322530,26,3
"11278",2020-01-01,2022-12-31,240000,35,3
