DATAFLOW,LAST UPDATE,freq,ipc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE11D,2012,0.445,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE121,2008,0.082,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE121,2009,0.416,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE121,2010,0.204,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE121,2012,0.471,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE122,2008,0.869,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE122,2009,1.762,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE122,2010,1.61,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE122,2011,2.337,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE122,2012,1.207,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE123,2008,1.527,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE123,2009,1.541,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE123,2010,2.304,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE123,2011,1.956,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE123,2012,1.969,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE124,2008,0.994,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE124,2009,0.341,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE124,2010,0.574,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE124,2011,0.7,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE124,2012,0.73,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE125,2008,3.514,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE125,2009,4.141,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE125,2010,3.773,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE125,2011,3.241,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE125,2012,3.563,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE126,2008,0.881,
